Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Households_With_Cars_No_Motor_Car_2011,Households_With_Cars_One_Motor_Car_2011,Households_With_Cars_Two_Motor_Cars_2011,Households_With_Cars_Three_Motor_Cars_2011,Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Cars_Total_2011,Perc_Households_With_Cars_No_Motor_Car_2011,Perc_Households_With_Cars_One_Motor_Car_2011,Perc_Households_With_Cars_Two_Motor_Cars_2011,Perc_Households_With_Cars_Three_Motor_Cars_2011,Perc_Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Personal_Computer_Total_2011,Households_With_Personal_Computer_Yes_2011,Households_With_Personal_Computer_No_2011,Households_With_Personal_Computer_Not_Stated_2011,Perc_Households_With_Personal_Computer_Yes_2011,Perc_Households_With_Personal_Computer_No_2011,Perc_Households_With_Personal_Computer_Not_Stated_2011,Households_With_Internet_Access_Broadband_2011,Households_With_Internet_Access_Other_Connection_2011,Households_With_Internet_Access_No_Access_To_Internet_2011,Households_With_Internet_Access_Not_Stated_2011,Households_With_Internet_Access_Total_2011,Perc_Households_With_Internet_Access_Broadband_2011,Perc_Households_With_Internet_Access_Other_Connection_2011,Perc_Households_With_Internet_Access_No_Access_To_Internet_2011,Perc_Households_With_Internet_Access_Not_Stated_2011
17312,27001004,A027001004,32035,035 Ardue,Cavan,Border,BMW,North and West,4,21,31,2,1,59,6.78,35.59,52.54,3.39,1.69,59,43,15,1,72.88,25.42,1.69,39,3,16,1,59,66.1,5.08,27.12,1.69
17313,27002001,A027002001,32036,036 Arvagh,Cavan,Border,BMW,North and West,13,18,22,5,2,60,21.67,30,36.67,8.33,3.33,60,36,23,1,60,38.33,1.67,33,2,23,2,60,55,3.33,38.33,3.33
17314,27002002,A027002002,32036,036 Arvagh,Cavan,Border,BMW,North and West,4,21,21,12,2,60,6.67,35,35,20,3.33,60,42,15,3,70,25,5,39,2,17,2,60,65,3.33,28.33,3.33
17315,27002003,A027002003,32036,036 Arvagh,Cavan,Border,BMW,North and West,5,34,25,8,3,75,6.67,45.33,33.33,10.67,4,75,47,27,1,62.67,36,1.33,41,4,30,0,75,54.67,5.33,40,0
17316,27002004,A027002004,32036,036 Arvagh,Cavan,Border,BMW,North and West,4,23,22,6,3,58,6.9,39.66,37.93,10.34,5.17,58,36,21,1,62.07,36.21,1.72,34,1,23,0,58,58.62,1.72,39.66,0
17317,27002005,A027002005,32036,036 Arvagh,Cavan,Border,BMW,North and West,23,46,20,3,0,92,25,50,21.74,3.26,0,92,52,39,1,56.52,42.39,1.09,42,4,44,2,92,45.65,4.35,47.83,2.17
17318,27003001,A027003001,32037,037 Ashfield,Cavan,Border,BMW,North and West,4,26,23,9,1,63,6.35,41.27,36.51,14.29,1.59,63,42,19,2,66.67,30.16,3.17,29,9,21,4,63,46.03,14.29,33.33,6.35
17319,27003002,A027003002,32037,037 Ashfield,Cavan,Border,BMW,North and West,7,24,22,7,2,62,11.29,38.71,35.48,11.29,3.23,62,43,16,3,69.35,25.81,4.84,39,2,18,3,62,62.9,3.23,29.03,4.84
17180,27004001,A027004001,32002,002 Bailieborough,Cavan,Border,BMW,North and West,6,27,34,4,2,73,8.22,36.99,46.58,5.48,2.74,73,52,21,0,71.23,28.77,0,43,6,24,0,73,58.9,8.22,32.88,0
17181,27004002,A027004002,32002,002 Bailieborough,Cavan,Border,BMW,North and West,4,29,38,11,1,83,4.82,34.94,45.78,13.25,1.2,83,56,25,2,67.47,30.12,2.41,50,3,27,3,83,60.24,3.61,32.53,3.61
